연번|자치구|대표 지번|면적(㎡)|권리산정기준일|비 고
82|서초구|양재2동 382|68,804|‘23.08.31.|관리계획 수립 중
83|서대문구|천연동 89-16|18,654.0|’22.06.23.|관리계획 승인 고시
84|서대문구|홍제동 322|34,343|‘23.12.07|관리계획 승인 고시
85|용산구|원효로4가 71|26,192|’22.10.27.|관리계획 승인 고시
86|종로구|구기동 100-48|64,231 |’22.06.23.|관리계획 승인 고시
87|강남구|일원동 619-641|90,992|’22.10.27.|관리계획 수립 중
88|동대문구|답십리동 489|55,045|’23.12.07.|관리계획 수립 중
연번|자치구|대표 지번|면적(㎡)|권리산정기준일|비 고
1|종로구|숭인동 61|17,334|’24.06.27.|관리계획 수립 중
2|용산구|서계동 116|11,490|’21.6.25.|관리계획 수립 중
3|성동구|금호동1가 129|15,724|’22.10.27.|관리계획 수립 중
4|광진구|자양2동 681|42,046|’24.2.22.|관리계획 수립 중
5|광진구|자양1동 772-1|42,315|’24.8.28.|관리계획 수립 중
6|광진구|자양1동 226-1|19,836|’25.1.15.|관리계획 수립 중
7|광진구|광장동 264-1|34,123|’24.10.2.|관리계획 수립 중
8|광진구|구의3동 587-58|20,358|’25.02.28.|관리계획 수립 중
9|중랑구|신내동 493-13|33,876|’24.9.12.|관리계획 수립 중
10|중랑구|망우동 509|14,541|’25.7.3.|관리계획 수립 중
11|성북구|종암동 125-1|11,755|’22.11.8.|관리계획 수립 중
12|성북구|정릉동 559-43|13,825|’22.11.8.|관리계획 수립 중
13|성북구|정릉동 226-1|27,024|’24.10.4.|관리계획 수립 중
14|성북구|정릉동 199-1|34,564|’25.02.4.|관리계획 수립 중
15|강북구|미아동 791-1134|14,175|’25.05.1.|관리계획 수립 중
16|서대문구|현저동 1-5|15,143|’24.5.9.|관리계획 승인 고시
17|서대문구|홍은동 10-18|17,668|’24.10.10.|관리계획 승인 고시
18|서대문구|홍은동 11-360|11,665|‘22.11.10.|관리계획 수립 중
19|서대문구|연희동 520|19,199|’25.2.10.|관리계획 수립 중
20|마포구|창전동 46-1|11,551|’25.2.18.|관리계획 승인 고시
21|마포구|망원동 464-1|14,783|’25.9.19.|관리계획 수립 중
22|양천구|목동 644-1|22,516|‘24.07.30.|관리계획 수립 중
23|금천구|시흥3동 972|24,030|’25. 2. 27.|관리계획 수립 중
24|동작구|동작동 102-8|21,211|‘25.3.20.|관리계획 수립 중 
25|관악구|신림동 655-78|16,137|‘24.4.25.|관리계획 승인 고시
26|서초구|우면동 2|40,708|‘24.3.27.|관리계획 수립 중
27|강동구 |천호동 338번지 |20,492 |‘24.5.23. |관리계획 수립 중
28|성북구|하월곡동 40-107|17,450|’25.10.17.|관리계획 수립 중
29|성북구|장위동 219-15|23,025|’25.09.08.|관리계획 수립 중
30|성북구|삼선동3가 42-7|16,815|’25.11.17.|관리계획 수립 중
31|중랑구|면목동 127-26|21,829|’25.10.31.|관리계획 수립 중
32|은평구|응암동 227|19,940|’25.10.27.|관리계획 수립 중
33|중랑구|면목동 377-4|22,041|’25.11.10.|관리계획 수립 중
34|서초구|서초동 1506-6|46,697|’25.06.18.|관리계획 수립 중
